V1,V2,V3,T1,T2,T3,xA1,xA2,xA3,xB1,xB2,xB3,targets
1.100694178,-1.817681404,0.893048686,-2.101900428,-2.459777216,-2.48964646,1.669010373,2.348253979,2.372827257,-1.747428556,-2.384116171,-2.373705096,1
-1.02370741,1.792152227,-1.719857209,0.659012325,0.855859763,0.81980563,-0.208883904,-0.671377209,-0.968797079,0.205562179,0.724136783,1.076176163,2
-0.107797744,0.613942639,-0.600040397,-1.066680479,-0.519157794,-0.542499687,0.987775507,0.492882155,0.299147572,-0.908734591,-0.366877829,-0.090146173,1
-0.463984836,-0.388788925,-0.226768126,-0.034694843,-0.083777498,-0.071511342,0.328719436,0.360349036,0.253086356,-0.372015191,-0.385447979,-0.261034246,3
1.647695784,-1.617135091,0.893048686,0.474668662,-0.278700551,-0.222659866,-0.893821937,0.036324882,0.197156062,0.916847059,-0.092880138,-0.291005231,1
-1.60887192,1.466264469,-0.351192216,0.626009122,1.691024011,1.629301915,-0.377862937,-1.455224438,-1.297620316,0.351476367,1.44232125,1.207657508,2
1.77490546,-0.388788925,0.644200505,-0.767038057,-1.036743068,-1.026674878,0.425805172,0.775024771,0.580619505,-0.423567273,-0.7243616,-0.444741078,1
-0.743846123,0.86462553,0.395352325,0.264310226,0.054900418,0.08978298,-0.132183568,-0.176753473,-0.119368012,0.119594474,0.16462027,0.095751443,2
0.528250636,-1.015496153,0.146504145,0.153217022,-0.042653071,0.00562612,-0.302775663,0.026482319,0.152942264,0.295863132,-0.054248598,-0.199332908,3
-1.65975579,0.488601194,-0.475616306,0.91570423,1.150169215,1.194148198,-0.255460876,-0.76279811,-0.769223658,0.239318344,0.74634163,0.730279683,1
0.375599025,-1.479259501,-0.600040397,-1.350630329,-1.757692751,-1.824272731,1.14777016,1.847729971,1.910706388,-1.250229731,-1.960855498,-2.039736432,3
0.960763534,1.955096106,0.644200505,0.091407041,0.218016289,0.268190847,-0.55049215,-0.810249375,-0.656173833,0.584287293,0.874226075,0.710671776,4
-0.489426772,-1.516861935,-0.102344036,0.798800736,0.830190309,0.831823037,-0.464876714,-0.342013139,-0.509039054,0.481347697,0.345168082,0.534199479,4
-1.316289665,0.200315869,0.644200505,-0.515381416,-0.747465862,-0.787031962,1.172648955,1.044845512,0.669030608,-1.010163879,-0.850824396,-0.37785129,1
0.337436122,0.100042713,-1.147506394,0.158166924,0.025729983,0.050854175,-0.463019215,-0.357357589,-0.221417967,0.458894348,0.342951035,0.184299859,3
1.545928043,0.914762108,1.813786953,-1.224180802,-1.261178828,-1.271942724,0.628888952,0.702995183,0.876314344,-0.677233017,-0.74697198,-0.946800651,4
-1.125475151,-0.877620563,-0.226768126,1.693059285,1.631642872,1.547299531,-1.109680016,-1.036997865,-1.343648167,1.139587848,1.054282056,1.375835709,2
1.03708934,-0.025298733,0.519776415,-0.510862494,-0.319287532,-0.273538477,0.1620329,0.115626714,0.199632162,-0.173687368,-0.118328511,-0.19689622,4
-0.998265475,0.237918303,-0.351192216,0.34022957,-0.117584975,-0.182445514,0.057737064,0.227727422,0.099998364,-0.074239296,-0.256746373,-0.119263447,3
0.528250636,-0.388788925,0.146504145,-0.923713385,-0.767190473,-0.670869101,0.453375858,0.486770997,0.873650781,-0.511675349,-0.546175623,-0.993194862,1
0.528250636,0.062440279,-1.782069254,2.26887129,2.378348122,2.276455415,-2.04172653,-2.04845772,-2.148117534,1.93318009,1.94073817,1.936110067,1
-0.209565485,-0.639471816,-1.296815302,-1.514999967,-1.489243504,-1.302866871,1.525981432,1.496381548,1.545561766,-1.586003779,-1.481737081,-1.476042959,3
1.011647404,-0.263447479,0.71885496,0.991934134,0.275572667,0.195551049,-1.087898273,-0.431878399,-0.550554725,1.148308505,0.426077132,0.553927213,3
0.40104096,0.112576857,-1.023082303,-0.763841123,-0.290068864,-0.360857577,0.679855906,0.385751329,0.346399585,-0.747666483,-0.422296257,-0.382398824,4
-1.596150952,1.365991312,1.440514683,0.61471629,0.975424986,0.998276801,-0.288673195,-0.947461297,-1.017284091,0.288433089,1.001509631,1.081523146,4
0.998926437,-1.140837598,0.146504145,-0.359620013,-0.792797125,-0.750437157,0.056193275,0.680450607,0.900274795,-0.08365149,-0.754197804,-1.014347656,2
-0.362217096,-0.012764588,-0.226768126,1.24817412,0.536989077,0.593458004,-1.09688965,-0.657725848,-0.57474945,1.145783924,0.669426409,0.576601455,1
-0.107797744,-0.514130371,0.270928235,-1.023276605,-0.423547785,-0.48567037,1.090365678,0.773678496,0.681939416,-1.192361173,-0.847256143,-0.761565941,3
-0.247728387,1.616674203,-0.724464487,0.437785458,0.678169043,0.687264222,-0.369089471,-0.839209517,-0.925244511,0.383115732,0.902466648,1.011549587,3
1.304229659,-2.143569162,0.395352325,0.881276523,0.355803139,0.375756912,-1.127389844,-0.296757996,-0.273180155,1.184549374,0.272451945,0.233104574,1
0.782669988,1.365991312,-0.600040397,0.40222033,1.064201415,0.97778558,-0.6581403,-1.255017008,-1.202294685,0.642768798,1.2605868,1.16253607,3
-0.362217096,0.112576857,0.893048686,0.604103721,0.331171656,0.357328794,-0.486550058,-0.303717994,-0.181986006,0.4119085,0.210645059,0.052289099,4
0.019411932,-0.388788925,0.519776415,0.260920387,-0.209238068,-0.215935578,-0.100883689,0.273336318,0.082539352,0.104322502,-0.257301834,-0.049781712,2
-1.507104179,0.112576857,0.022080054,-1.262147045,-0.336723012,-0.139407483,1.453895931,0.490841995,0.64806164,-1.459395173,-0.417693645,-0.531304406,3
-0.23500742,-1.028030297,-0.226768126,-0.197290538,-0.856084692,-0.850168235,0.274545072,1.018267633,1.158738497,-0.32793854,-1.130287094,-1.31928323,3
1.673137719,-0.050367022,-1.558105891,1.039810663,0.714355216,0.549995802,-1.304692811,-0.928166542,-1.165327531,1.383659692,0.971867141,1.246825526,1
0.273831284,0.062440279,-0.214325717,0.923939046,0.969225636,0.973642388,-0.850964784,-0.874495134,-0.952751154,0.800224517,0.83677459,0.878360348,1
