x1,x2,x3,x4,x5,x6
-175.67717337620007,-197.91745059700403,-424.00270689926583,-264.1390446616654,-26.54523768873824,-203.02168195370137
-556.402596054639,-578.1755545995157,-284.394001269906,-310.83015071011926,-434.2641273640787,-4.2178534999873944
-124.6795485420507,-109.9531094911786,-248.4902202288236,-172.25472362429298,-30.868872013676985,-210.08307409084844
-59.30170001058134,-82.79108559369651,-341.63540908919515,-186.47785262844027,-42.84125859173938,-198.38475534814876
-109.01724022405118,-115.2792844336012,-291.03048505106256,-139.01704237143954,-69.11593759257754,-118.84186157407488
-52.63895009815075,-75.79569598307661,-995.0648745605283,-564.9771013559757,-4.967974684391035,-990.560697614116
-696.4747461050283,-702.1283159460064,-294.2957168461161,-353.22229984294,-564.5062082127529,-1.9413373233792062
-49.390740446943546,-80.2957768571433,-641.8464052257542,-346.3494302805151,-7.175059044942747,-532.3698178105832
-27.64192179849004,-65.09339168536833,-1292.4525712781979,-702.6524943059736,-13.959888046312662,-1283.5744273230234
-272.64196703246176,-330.43378524676285,-257.27010362694665,-21.69777884225575,-288.86915508948147,-145.05785259305208
-481.15416885593464,-492.86333713496913,-258.8909415948933,-287.6519943232301,-388.2825394287571,-6.083005130888299
-119.60111014631386,-136.9945739941939,-266.67064445141534,-179.9427566342432,-71.83713853286497,-110.14539484285315
-687.7559699296759,-694.8710133715492,-319.75722082712605,-382.3688153553762,-534.6443247516586,-1.9835847615945894
-432.987269853888,-474.65873567117507,-198.2714519910508,-176.46109619080102,-369.280097164167,-12.891282051522975
-260.768426517467,-274.9749231995143,-308.30528807845224,-231.0053849663319,-130.45633419893844,-52.52921712241409
-266.1131680657901,-286.02330361398606,-227.01864472621003,-176.78241460288066,-227.837542999799,-25.475698710953207
-129.44330512482378,-137.16179977351024,-549.0000766243155,-322.97573620444894,-5.868024215990536,-385.14932339808854
-405.0585471290851,-408.73005682010677,-237.98634168881304,-216.5425338169939,-346.32578096103816,-10.429920253528289
-490.55320023396587,-534.5194224830094,-225.9115297651136,-242.70597245333695,-391.50406067496016,-7.594615979383983
-114.20124289440126,-158.01803754034648,-1420.615422485051,-829.5984568880484,-0.41097859461852054,-1322.8636377607254
-7.310116180518446,-129.15893975688581,-1243.5346939877356,-575.3619420996969,-36.245227993071275,-1105.4802447228303
-32.31847782568519,-66.13975644389159,-1062.4623436844875,-589.4861637433135,-11.30176979605158,-1027.4791369589918
-98.30273933321979,-75.15687940404766,-974.0451245539492,-574.4883492633529,-3.5774865872797545,-911.5480020643257
-289.0945789996968,-259.7300784125369,-183.301813774418,-196.6059193999797,-201.2198311647946,-30.25878559701155
-42.51527407703592,-82.32591715338206,-453.13783548787916,-222.84724029755836,-19.761656088767033,-317.45646932344397
-136.47370985424686,-155.21182792136145,-201.20467163197307,-120.03572325700308,-119.88867863679353,-76.34901834815757
-487.35898196956515,-469.5325968135484,-216.40330186085126,-273.9554363137081,-377.2386240396015,-7.436560243869151
-90.82873115855571,-98.3356754258844,-854.0023557711247,-446.6713346045967,-1.7459131659379032,-780.5588110871446
-161.10861029429446,-203.17534883625206,-202.36639391568164,-82.70257572569277,-158.07633638668835,-72.23304726791122
-14.81923144363408,-76.29321847764783,-837.5149665921816,-391.6956072829373,-26.68699035401822,-820.5250616266225
-530.3766009491445,-554.1988228007399,-215.15657538921604,-257.80881582772116,-423.34457814740597,-6.3632377225995
-175.81067500175,-240.8960977502449,-184.6570920677824,-50.363910443174895,-157.76324903644309,-99.82873960651494
-20.970292331297685,-58.09400823665799,-664.596344710823,-345.3474099854437,-22.120651552225926,-580.10198847635
-37.99594761073461,-134.65712080056437,-505.6439298798969,-92.21272764160838,-63.97892154001243,-372.55756464070845
-104.40904413452652,-140.69015652206983,-653.6960556343488,-368.2751792902082,-3.475984483625353,-463.6695466425973
-565.2354106991511,-551.6979124379585,-165.59163912595653,-283.9504785190838,-406.0702695278148,-9.885942593189759
-98.18124020284455,-97.92553674104578,-245.6846336585203,-115.15718198197627,-57.77311344664397,-148.64822981867817
-56.85230601913603,-71.26912879003646,-578.009172823181,-326.17752859850026,-6.730684610494739,-523.2267521050748
-66.95182996389732,-30.124115356660496,-327.4948694355139,-206.4472929227091,-39.03978744802462,-325.38859809209646
-364.1946030852701,-395.245612933266,-224.59694830287714,-202.3651051548058,-286.591216048422,-14.824365800387296
-377.76231479226647,-381.39489889082233,-244.15859539983015,-207.9158411932965,-260.414404154293,-18.196424243390375
-50.278525923199446,-103.24129776496301,-431.52604581367746,-196.20149651247905,-26.881888348902933,-252.61663691318657
-138.66510743415265,-155.80101864437674,-463.6061051307832,-285.6663244923461,-10.949812783808822,-308.4248192735315
-65.53058278026317,-71.94172984661172,-1056.3050292566759,-637.0147518268661,-5.74314677871806,-1036.190352780644
-238.4288245470512,-252.6602365258027,-515.5209116108341,-359.1012665063332,-13.081897349995138,-285.98554912978364
-733.6229426700846,-769.9067632050933,-304.06893492093934,-369.8615209335377,-597.4230374861795,-1.6476978091355086
-87.9825210018615,-116.82085926920917,-826.7797868350792,-485.68238899206943,-1.4047985848646942,-749.6539567526125
-930.6604251258758,-939.7769850306047,-284.0688083512796,-383.25290336409597,-789.1620494664475,-2.225181113547997
-229.46124714310992,-226.2975293841143,-289.0924156049638,-222.1181221602016,-93.28511202609154,-78.7466425194837
-259.13309264027777,-262.7625863557909,-214.93166613788372,-182.47521530996266,-188.477337712827,-32.04498135388082
-599.19409489984,-609.1998531349618,-337.83920245787925,-379.20068668688276,-367.6337432214409,-7.391534272905082
-308.5095282744774,-340.97712717989606,-162.54992981069688,-142.8044088768628,-242.99581004848696,-27.012391069746165
-28.668129951744366,-81.84798392820741,-387.56305932902546,-122.98804960451287,-64.35628018973381,-349.5612960076857
-85.06590647747203,-126.16059927224504,-936.4787264280396,-536.403498116221,-1.3887274630478046,-787.2002946561471
-125.16757820678261,-169.10904540430843,-1013.9079158600985,-602.7746623471143,-0.44212502357326633,-881.88562992774
-511.434042759253,-508.7555984427112,-189.16945479017508,-245.16669093761269,-396.85181603860985,-8.15692517295556
-294.428948324095,-290.1959471013224,-221.46522942959703,-204.37506619029247,-192.34839769430317,-29.9016609625211
