x1,x2,x3,x4,x5,x6,x7,x8
-94.45114982206024,-437.1665255946893,-3309.609729220125,-453.61744263707914,-170.24274629198936,-2132.741885146514,-1352.2507111338225,-173.2019021634128
-547.4081599698943,-1168.2159563242396,-8668.976437765348,-2226.659555953665,-459.11994863102495,-2178.2073817827704,-22.704768075877247,-536.6610018204728
-559.5906782938459,-1186.4652691751196,-14632.810830841921,-4375.406996715648,-323.40517579925023,-4709.060336685116,-39.0016183928998,-408.22268819298216
-162.5270092550103,-182.7005010462071,-8957.611626974493,-2551.625170926405,-12.331628104871376,-4335.447477155215,-1600.1802382997578,-67.18383542441453
-145.7008852242752,-524.4103052270469,-9170.318492169172,-2423.575184517459,-116.53165697571849,-3217.4351212022434,-244.30953587636736,-84.81841646246126
-287.85733462750864,-817.7629100404955,-7982.075153559308,-1933.7606123155117,-329.9081130499235,-2146.862310328088,-94.10046369455614,-346.9202228282474
-278.65335973634717,-510.5069196907975,-6159.519520428393,-1247.2566082229891,-144.6569796774419,-1401.4367194944648,-319.77829300601167,-67.79474056794828
-1115.2035970974357,-1783.5889772920968,-13715.735273776088,-4025.125830166757,-786.0564117186168,-3364.9377433194377,-3.088706038124694,-884.6000033312255
-169.08172187571168,-336.92104655514567,-5106.763754981279,-1388.3597864482147,-61.16240822918607,-1971.3093049406368,-345.10297798639243,-59.45976330287972
-50.198421321787,-466.78005354392565,-20311.015971282264,-6914.5752191333295,-37.65221208003659,-9793.047476256172,-2257.93131570783,-29.768392071453974
-934.0587643739782,-1595.4362090897391,-15169.144434056023,-4860.336262085442,-674.6183853016882,-5065.502094129786,-6.883771882062269,-811.9694362603631
-8.651217659624798,-488.6142773236202,-11992.150034981993,-3091.6583056279046,-101.83901746187789,-5377.680091442877,-1733.581631932217,-124.2228553568821
-196.71815529999117,-68.359859800463,-11042.541339376747,-2772.3644594668854,-75.82696781826805,-4929.677807170133,-2113.726577743235,-47.23095939943539
-1376.4245614613255,-2140.8329267365457,-13986.107562181638,-4563.594866430318,-1161.110597680266,-3899.1180006181953,-0.7341540241731201,-1327.284355516167
-172.37305687188913,-390.36642566981925,-5945.44861871221,-1556.2811394671726,-107.73064797770448,-1952.0707675935953,-189.32731840673654,-130.72362191931236
-110.7926958994554,-310.57777385847453,-4587.195717846785,-1115.3940307554406,-27.573092108828696,-1918.6312532799545,-933.7186797130562,-41.796028017963344
-65.22215053865798,-459.5558460358572,-19266.116544608434,-6903.886295679233,-17.025192683341704,-9792.820046966102,-2161.211312945166,-103.98837098244108
