instance,V1,V2,V3,T1,T2,T3,xA1,xA2,xA3,xB1,xB2,xB3,F1,F2,F3,Ff1,Ff2,FR,Q1,Q2,Q3,label
90,0.342214865,-0.123244352,-0.060454196,-0.804310254,-0.794001569,-0.667231621,0.725211284,0.666842348,0.662925006,-0.759530618,-0.644024544,-0.584400957,-0.972513655,-0.996013742,0.546586279,0.779288816,-0.162373213,-1.531282918,-0.898035197,-0.168858219,1.854932611,8
91,-0.00025368,-1.648423962,2.181882164,-0.76078542,-1.453228179,-1.487655723,0.714657988,1.504710385,1.682442081,-0.80028553,-1.663063222,-1.903726051,0.334152959,1.151910974,1.261192962,-0.351850166,1.814172456,0.570763821,-0.003744,-1.208803456,-0.130169701,5
92,-0.418826347,2.016927035,-1.575546332,1.116151864,1.735298962,1.659762918,-0.930980936,-1.704628972,-2.01983167,1.034710771,1.866854322,2.247882601,0.6019906,-0.099671744,-1.4307151,-0.18180461,-1.454874171,0.788377709,0.617490912,0.546025892,-1.496302053,5
94,0.380266925,1.475734271,0.242564231,-0.109435666,0.210997589,0.250977138,-0.127574482,-0.550016666,-0.384919089,0.081300655,0.514232151,0.340361897,-0.090651515,-0.25785873,-0.016435012,0.362071391,-0.373500486,-0.296314872,0.192001048,-1.810102546,0.765214818,6
95,0.126586521,-0.73823613,-0.242265253,-1.061104962,-0.378625803,-0.498023345,1.084747002,0.67622299,0.343521933,-0.894491677,-0.49340294,-0.096552769,2.119792501,1.613630552,0.460335311,1.524159838,-0.856542234,1.627667272,0.761576487,1.761755323,-0.950869778,7
99,0.253426723,-0.197043366,-0.242265253,-0.214308869,-0.010640711,0.005034896,0.142147601,0.035107941,0.034291526,-0.118975996,-0.006820956,0.011319471,0.178300022,-0.109552328,-0.000437325,0.631281521,-0.604713382,-0.130039601,0.610121043,0.221941284,0.444955059,8
100,-2.156537112,1.266637066,-0.484679994,-0.219592536,0.161041632,0.225125645,0.694844442,-0.006921339,0.045743367,-0.689984393,0.051705646,0.021513143,-0.874809432,-0.838926437,-0.346082544,-0.427659349,-0.022225888,-0.778551801,-1.679519951,1.743810273,0.555029076,5
101,1.268148338,0.614745781,0.606186343,-0.118581309,-0.079558228,-0.111552006,-0.463667578,-0.389427556,-0.224448584,0.471017263,0.356525001,0.156776196,0.293112809,0.173414662,0.332701608,0.643608435,-0.226390228,-0.004618486,-0.378758634,-1.162571815,-0.773222389,7
102,-0.380774286,-0.123244352,-0.484679994,-1.233199035,-1.693616712,-1.62477773,1.328484263,1.689418443,1.724380726,-1.413603997,-1.723843253,-1.750027895,-0.353305785,0.320794108,1.71916107,0.569358281,1.423487773,-0.708192013,0.405083069,0.289595391,1.69660678,8
104,-0.063673781,1.943128022,-0.290748201,-2.156896721,-2.278278871,-2.282690611,1.630469496,1.472684503,1.744342874,-1.763421516,-1.561634412,-1.841556388,0.462747265,1.268930254,2.741257449,1.432522467,1.803757217,-0.22826126,2.28978907,0.075842396,-0.555733455,8
105,0.71005145,-1.230229553,1.333430568,-0.04066605,0.120536534,0.179852339,-0.146305066,-0.036703559,0.031273635,0.167233663,0.04146343,-0.037498992,-0.457558977,-1.104073394,-0.504621848,0.881139831,-1.456412591,-0.993455317,-1.181753276,1.435837018,0.714656658,3
106,1.39498854,1.229737559,-0.363472623,1.614169496,1.284653901,1.261978469,-1.804542741,-1.67090053,-1.731279052,1.879439311,1.714246847,1.776935671,-0.36315463,0.206784675,-0.257004891,-1.557217927,1.196155717,0.408895899,0.584971713,0.00414126,1.089844926,5
107,-1.141815497,-0.246242708,0.848601085,-1.371715762,-1.054949144,-0.993019465,1.497975713,1.181450795,1.221000708,-1.532595296,-1.165845745,-1.189590337,-0.074494081,-0.463700554,0.232594645,1.156025856,-0.85376428,-0.699033654,-1.519026338,-1.767793831,0.126131695,7
108,-0.976923235,-0.984232842,-0.484679994,-0.067170419,-0.31348583,-0.390428357,0.441139401,0.700030077,0.674861166,-0.500217169,-0.787464192,-0.778952,0.599472636,1.030638698,-0.040018695,-1.059774408,1.00498971,1.251353626,0.222994258,1.399745775,-1.379022407,7
109,1.991137489,-0.553738597,-0.484679994,1.439764608,1.390206619,1.397986765,-1.753970749,-1.505461844,-1.701862521,1.868519887,1.587207082,1.802545708,-0.063608616,-0.471555542,-0.772275936,-0.00325521,-0.893216511,-0.071382366,1.60061006,-0.695038166,1.191324498,5
110,-1.014975295,0.03665351,0.848601085,0.578402465,1.106682361,1.10178029,-0.33023734,-0.722524704,-0.53151757,0.274216786,0.667657268,0.387393222,0.025877872,-0.556811135,-1.148547529,-0.06780909,-1.262457279,0.065724162,-0.152752448,0.433980668,-0.314745857,5
111,0.633947329,-0.000245997,0.242564231,-1.649956954,-2.194285445,-2.201754055,1.423885851,1.783483742,1.684582322,-1.397748338,-1.75817605,-1.560752477,0.209933373,1.132826706,2.117529054,0.444885829,2.028272491,0.005224365,-1.871030919,0.848908191,-0.469372829,5
113,-1.192551578,-0.012545832,1.454637939,-2.343250994,-1.762349469,-1.851683263,2.380802112,1.974398868,1.786379532,-2.144610539,-1.736947975,-1.426796833,1.717648776,1.194666957,0.722603814,1.905631068,-0.939109236,0.963039512,1.585676959,0.3686077,-1.397287228,5
